LANGUAGE,LEVEL,AVERAGE SOURCE STATEMENTS PER FUNCTION POINT
SAS,10,32
SAVVY,25,13
SBASIC,3.5,91
SCEPTRE,4.5,71
SCHEME,6,53
Screen painter default,57,6
SEQUAL,27,12
SHELL,15,21
SIMPLAN,9,36
SIMSCRIPT,7,46
SIMULA,7,46
SIMULA 67,7,46
Simulation default,7,46
SMALLTALK 286,15,21
SMALLTALK 80,15,21
SMALLTALK/V,15,21
SNAP,4,80
SNOBOL2-4,2.5,128
SoftScreen,23,14
SOLO,5.5,58
SPEAKEASY,9,36
Spinnaker PPL,9,36
Spreadsheet default,50,6
SPS,1,320
SPSS,10,32
SQL,25,13
SQL-Windows,27,12
Statistical default,10,32
STRATEGEM,9,36
STRESS,4.5,71
Strongly typed default,3.5,91
STYLE,7,46
SUPERBASE 1.3,9,36
SURPASS,50,6
SYBASE,8,40
Symantec C++,11,29
SYMBOLANG,5,64
Synchroworks,18,18
SYNON/2E,17,19
System-W,9,36
Tandem Access Language,3.5,91
TCL,5,64
TELON,20,16
TESSARACT,8,40
THE TWIN,50,6
THEMIS,25,13
TI-IEF,23,14
Topspeed C ++,11,29
TRANSFORM,22,15
TRANSLISP PLUS,5.75,56
TREET,5,64
TREETRAN,5,64
"TRS80 BASIC II,III",2.5,128
TRUE BASIC,5,64
Turbo C,2.5,128
TURBO C++,6,53
TURBO EXPERT,6.5,49
Turbo PASCAL >5,6.5,49
Turbo PASCAL 1-4,4,80
Turbo PASCAL 4-5,4.5,71
Turbo PROLOG,4,80
TURING,4,80
TUTOR,6,53
TWAICE,6.5,49
UCSD PASCAL,3.5,91
UFO/IMS,9,36
UHELP,10,32
UNIFACE,20,16
UNIX Shell Scripts,15,21
VAX ACMS,5.5,58
VAX ADE,8,40
VECTRAN,3,107
VHDL ,17,19
Visible C,6.5,49
Visible COBOL,8,40
Visicalc 1,35,9
Visual 4.0,11,29
Visual Basic 1,7,46
Visual Basic 2,7.5,43
Visual Basic 3,8,40
Visual Basic 4,9,36
Visual Basic 5,11,29
Visual Basic 6,13,22
VB .net,15,20
Visual C++,9.5,34
Visual COBOL,16,20
Visual Objects,20,16
VisualAge,15,21
VisualGen,18,18
VS-REXX,10,32
VULCAN,5,64
VZ Programmer,9,36
WARP X,8,40
WATCOM C,2.5,128
WATCOM C/386,2.5,128
Waterloo C,2.5,128
Waterloo PASCAL,3.5,91
WATFIV,3.75,85
WATFOR,3.5,91
WHIP,3.5,91
Wizard,11.5,28
XLISP,5,64
YACC,6,53
YACC++,6,53
ZBASIC,3.5,91
ZIM,17,19
ZLISP,5,64
